idx,log_timestamp,camera,ave_speed,speed_units,image_path,image_w,image_h,image_bigger,direction,plugin_name,cx,cy,mw,mh,m_area,x_left,x_right,y_upper,y_lower,max_speed_over,min_area,track_counter,cal_obj_px,cal_obj_mm,status,cam_location
20211212-2341596,"""2021-12-12 23:41:59""",PiCam,4.84,mph,media/images/calib-20211212-2341596.jpg,960,720,3,R2L,None,22,0,15,60,900,50,250,90,150,0,200,6,85,4700,,None
20211212-2342194,"""2021-12-12 23:42:19""",PiCam,19.8,mph,media/images/calib-20211212-2342194.jpg,960,720,3,L2R,None,32,0,16,60,960,50,250,90,150,0,200,6,80,4700,,None
20211212-2342450,"""2021-12-12 23:42:45""",PiCam,20.31,mph,media/images/calib-20211212-2342450.jpg,960,720,3,R2L,None,39,29,43,31,1333,50,250,90,150,0,200,6,85,4700,,None
20211212-2343105,"""2021-12-12 23:43:10""",PiCam,19.7,mph,media/images/calib-20211212-2343105.jpg,960,720,3,L2R,None,102,22,60,19,1140,50,250,90,150,0,200,6,80,4700,,None
20211212-2343148,"""2021-12-12 23:43:14""",PiCam,32.6,mph,media/images/calib-20211212-2343148.jpg,960,720,3,L2R,None,29,0,41,60,2460,50,250,90,150,0,200,6,80,4700,,None
20211212-2343261,"""2021-12-12 23:43:26""",PiCam,28.44,mph,media/images/calib-20211212-2343261.jpg,960,720,3,L2R,None,53,0,88,49,4312,50,250,90,150,0,200,6,80,4700,,None
20211212-2343293,"""2021-12-12 23:43:29""",PiCam,24.95,mph,media/images/calib-20211212-2343293.jpg,960,720,3,L2R,None,64,27,42,33,1386,50,250,90,150,0,200,6,80,4700,,None
20211212-2343317,"""2021-12-12 23:43:31""",PiCam,4.8,mph,media/images/calib-20211212-2343317.jpg,960,720,3,L2R,None,66,0,18,60,1080,50,250,90,150,0,200,6,80,4700,,None
20211212-2343331,"""2021-12-12 23:43:33""",PiCam,12.55,mph,media/images/calib-20211212-2343331.jpg,960,720,3,L2R,None,95,17,12,43,516,50,250,90,150,0,200,6,80,4700,,None
20211212-2343344,"""2021-12-12 23:43:34""",PiCam,5.83,mph,media/images/calib-20211212-2343344.jpg,960,720,3,L2R,None,111,0,14,60,840,50,250,90,150,0,200,6,80,4700,,None
20211212-2343355,"""2021-12-12 23:43:35""",PiCam,7.33,mph,media/images/calib-20211212-2343355.jpg,960,720,3,L2R,None,114,0,17,60,1020,50,250,90,150,0,200,6,80,4700,,None
20211212-2344134,"""2021-12-12 23:44:13""",PiCam,9.94,mph,media/images/calib-20211212-2344134.jpg,960,720,3,L2R,None,131,0,16,60,960,50,250,90,150,0,200,6,80,4700,,None
20211212-2346010,"""2021-12-12 23:46:01""",PiCam,13.89,mph,media/images/calib-20211212-2346010.jpg,960,720,3,L2R,None,95,0,44,60,2640,50,250,90,150,0,200,6,80,4700,,None
20211212-2346021,"""2021-12-12 23:46:02""",PiCam,30.75,mph,media/images/calib-20211212-2346021.jpg,960,720,3,L2R,None,127,0,11,52,572,50,250,90,150,0,200,6,80,4700,,None
20220104-0710262,"""2022-01-04 07:10:26""",PiCam,29.15,mph,media/images/calib-20220104-0710262.jpg,960,720,3,L2R,None,85,0,54,10,540,50,250,90,150,0,200,6,80,4700,,None
20220104-0713087,"""2022-01-04 07:13:08""",PiCam,9.07,mph,media/images/calib-20220104-0713087.jpg,960,720,3,R2L,None,88,0,41,13,533,50,250,90,150,0,200,6,85,4700,,None
20220104-0713096,"""2022-01-04 07:13:09""",PiCam,23.99,mph,media/images/calib-20220104-0713096.jpg,960,720,3,R2L,None,25,0,41,15,615,50,250,90,150,0,200,6,85,4700,,None
20220104-0713107,"""2022-01-04 07:13:10""",PiCam,10.61,mph,media/images/calib-20220104-0713107.jpg,960,720,3,R2L,None,42,0,19,18,342,50,250,90,150,0,200,6,85,4700,,None
20220104-0713599,"""2022-01-04 07:13:59""",PiCam,29.13,mph,media/images/calib-20220104-0713599.jpg,960,720,3,L2R,None,48,0,27,14,378,50,250,90,150,0,200,6,80,4700,,None
20220104-0720033,"""2022-01-04 07:20:03""",PiCam,26.24,mph,media/images/calib-20220104-0720033.jpg,960,720,3,L2R,None,78,0,43,13,559,50,250,90,150,0,200,6,80,4700,,None
20220104-0735422,"""2022-01-04 07:35:42""",PiCam,32.12,mph,media/images/calib-20220104-0735422.jpg,960,720,3,R2L,None,47,0,83,13,1079,50,250,90,150,0,200,6,85,4700,,None
20220104-0745524,"""2022-01-04 07:45:52""",PiCam,46.25,mph,media/images/calib-20220104-0745524.jpg,960,720,3,R2L,None,58,0,56,21,1176,50,250,90,150,0,200,6,85,4700,,None
20220104-0748035,"""2022-01-04 07:48:03""",PiCam,14.27,mph,media/images/calib-20220104-0748035.jpg,960,720,3,R2L,None,112,0,35,15,525,50,250,90,150,0,200,6,85,4700,,None
20220104-0748047,"""2022-01-04 07:48:04""",PiCam,14.19,mph,media/images/calib-20220104-0748047.jpg,960,720,3,R2L,None,108,0,53,19,1007,50,250,90,150,0,200,6,85,4700,,None
20220104-0748453,"""2022-01-04 07:48:45""",PiCam,28.82,mph,media/images/calib-20220104-0748453.jpg,960,720,3,L2R,None,72,0,26,16,416,50,250,90,150,0,200,6,80,4700,,None
20220104-0754120,"""2022-01-04 07:54:12""",PiCam,35.53,mph,media/images/calib-20220104-0754120.jpg,960,720,3,R2L,None,34,0,35,14,490,50,250,90,150,0,200,6,85,4700,,None
20220104-0757481,"""2022-01-04 07:57:48""",PiCam,19.18,mph,media/images/calib-20220104-0757481.jpg,960,720,3,L2R,None,78,0,32,21,672,50,250,90,150,0,200,6,80,4700,,None
20220104-0758191,"""2022-01-04 07:58:19""",PiCam,31.04,mph,media/images/calib-20220104-0758191.jpg,960,720,3,L2R,None,89,0,37,15,555,50,250,90,150,0,200,6,80,4700,,None
20220104-0801572,"""2022-01-04 08:01:57""",PiCam,29.82,mph,media/images/calib-20220104-0801572.jpg,960,720,3,L2R,None,67,0,32,16,512,50,250,90,150,0,200,6,80,4700,,None
20220104-0801581,"""2022-01-04 08:01:58""",PiCam,11.72,mph,media/images/calib-20220104-0801581.jpg,960,720,3,L2R,None,112,0,59,13,767,50,250,90,150,0,200,6,80,4700,,None
20220104-0801591,"""2022-01-04 08:01:59""",PiCam,13.93,mph,media/images/calib-20220104-0801591.jpg,960,720,3,L2R,None,46,0,86,23,1978,50,250,90,150,0,200,6,80,4700,,None
20220104-0813593,"""2022-01-04 08:13:59""",PiCam,41.13,mph,media/images/calib-20220104-0813593.jpg,960,720,3,R2L,None,82,0,45,16,720,50,250,90,150,0,200,6,85,4700,,None
20220104-0818225,"""2022-01-04 08:18:22""",PiCam,50.3,mph,media/images/calib-20220104-0818225.jpg,960,720,3,R2L,None,57,0,53,16,848,50,250,90,150,0,200,6,85,4700,,None
20220104-0818544,"""2022-01-04 08:18:54""",PiCam,31.69,mph,media/images/calib-20220104-0818544.jpg,960,720,3,L2R,None,76,0,59,18,1062,50,250,90,150,0,200,6,80,4700,,None
20220104-0821225,"""2022-01-04 08:21:22""",PiCam,20.49,mph,media/images/calib-20220104-0821225.jpg,960,720,3,L2R,None,60,0,30,19,570,50,250,90,150,0,200,6,80,4700,,None
20220104-0822304,"""2022-01-04 08:22:30""",PiCam,21.16,mph,media/images/calib-20220104-0822304.jpg,960,720,3,R2L,None,107,0,23,13,299,50,250,90,150,0,200,6,85,4700,,None
20220104-0822314,"""2022-01-04 08:22:31""",PiCam,16.67,mph,media/images/calib-20220104-0822314.jpg,960,720,3,R2L,None,35,0,18,17,306,50,250,90,150,0,200,6,85,4700,,None
20220104-0829191,"""2022-01-04 08:29:19""",PiCam,22.77,mph,media/images/calib-20220104-0829191.jpg,960,720,3,L2R,None,69,0,31,14,434,50,250,90,150,0,200,6,80,4700,,None
20220104-0836547,"""2022-01-04 08:36:54""",PiCam,25.83,mph,media/images/calib-20220104-0836547.jpg,960,720,3,R2L,None,48,0,41,13,533,50,250,90,150,0,200,6,85,4700,,None
20220104-0839392,"""2022-01-04 08:39:39""",PiCam,33.23,mph,media/images/calib-20220104-0839392.jpg,960,720,3,L2R,None,78,0,47,8,376,50,250,90,150,0,200,6,80,4700,,None
20220104-0840129,"""2022-01-04 08:40:12""",PiCam,31.98,mph,media/images/calib-20220104-0840129.jpg,960,720,3,L2R,None,70,0,50,17,850,50,250,90,150,0,200,6,80,4700,,None
20220104-0854088,"""2022-01-04 08:54:08""",PiCam,36.95,mph,media/images/calib-20220104-0854088.jpg,960,720,3,R2L,None,35,0,59,10,590,50,250,90,150,0,200,6,85,4700,,None
20220104-0855507,"""2022-01-04 08:55:50""",PiCam,16.57,mph,media/images/calib-20220104-0855507.jpg,960,720,3,L2R,None,50,0,27,12,324,50,250,90,150,0,200,6,80,4700,,None
20220104-0906275,"""2022-01-04 09:06:27""",PiCam,43.73,mph,media/images/calib-20220104-0906275.jpg,960,720,3,L2R,None,102,0,44,8,352,50,250,90,150,0,200,6,80,4700,,None
20220104-0933313,"""2022-01-04 09:33:31""",PiCam,40.54,mph,media/images/calib-20220104-0933313.jpg,960,720,3,R2L,None,42,0,47,14,658,50,250,90,150,0,200,6,85,4700,,None
20220104-0948256,"""2022-01-04 09:48:25""",PiCam,22.0,mph,media/images/calib-20220104-0948256.jpg,960,720,3,L2R,None,63,0,29,12,348,50,250,90,150,0,200,6,80,4700,,None
20220104-0948410,"""2022-01-04 09:48:41""",PiCam,33.49,mph,media/images/calib-20220104-0948410.jpg,960,720,3,L2R,None,63,0,26,13,338,50,250,90,150,0,200,6,80,4700,,None
20220104-1006259,"""2022-01-04 10:06:25""",PiCam,19.85,mph,media/images/calib-20220104-1006259.jpg,960,720,3,R2L,None,91,0,38,30,1140,50,250,90,150,0,200,6,85,4700,,None
20220104-1010156,"""2022-01-04 10:10:15""",PiCam,13.58,mph,media/images/calib-20220104-1010156.jpg,960,720,3,R2L,None,124,0,26,13,338,50,250,90,150,0,200,6,85,4700,,None
20220104-1010166,"""2022-01-04 10:10:16""",PiCam,13.41,mph,media/images/calib-20220104-1010166.jpg,960,720,3,R2L,None,40,0,29,15,435,50,250,90,150,0,200,6,85,4700,,None
20220104-1012087,"""2022-01-04 10:12:08""",PiCam,24.6,mph,media/images/calib-20220104-1012087.jpg,960,720,3,L2R,None,74,0,95,27,2565,50,250,90,150,0,200,6,80,4700,,None
20220104-1013134,"""2022-01-04 10:13:13""",PiCam,13.88,mph,media/images/calib-20220104-1013134.jpg,960,720,3,L2R,None,50,0,25,15,375,50,250,90,150,0,200,6,80,4700,,None
20220104-1013144,"""2022-01-04 10:13:14""",PiCam,14.0,mph,media/images/calib-20220104-1013144.jpg,960,720,3,L2R,None,114,0,21,13,273,50,250,90,150,0,200,6,80,4700,,None
20220104-1022125,"""2022-01-04 10:22:12""",PiCam,34.96,mph,media/images/calib-20220104-1022125.jpg,960,720,3,R2L,None,60,0,27,13,351,50,250,90,150,0,200,6,85,4700,,None
20220104-1034155,"""2022-01-04 10:34:15""",PiCam,25.8,mph,media/images/calib-20220104-1034155.jpg,960,720,3,R2L,None,45,0,30,14,420,50,250,90,150,0,200,6,85,4700,,None
20220104-1034220,"""2022-01-04 10:34:22""",PiCam,18.88,mph,media/images/calib-20220104-1034220.jpg,960,720,3,R2L,None,100,0,36,18,648,50,250,90,150,0,200,6,85,4700,,None
20220104-1034229,"""2022-01-04 10:34:22""",PiCam,16.91,mph,media/images/calib-20220104-1034229.jpg,960,720,3,R2L,None,33,0,47,19,893,50,250,90,150,0,200,6,85,4700,,None
20220104-1045150,"""2022-01-04 10:45:15""",PiCam,28.3,mph,media/images/calib-20220104-1045150.jpg,960,720,3,R2L,None,64,0,56,14,784,50,250,90,150,0,200,6,85,4700,,None
20220104-1046569,"""2022-01-04 10:46:56""",PiCam,26.74,mph,media/images/calib-20220104-1046569.jpg,960,720,3,L2R,None,78,0,44,14,616,50,250,90,150,0,200,6,80,4700,,None
20220104-1137332,"""2022-01-04 11:37:33""",PiCam,24.75,mph,media/images/calib-20220104-1137332.jpg,960,720,3,R2L,None,34,0,34,13,442,50,250,90,150,0,200,6,85,4700,,None
20220104-1146436,"""2022-01-04 11:46:43""",PiCam,27.19,mph,media/images/calib-20220104-1146436.jpg,960,720,3,R2L,None,97,0,43,35,1505,50,250,90,150,0,200,6,85,4700,,None
20220104-1146446,"""2022-01-04 11:46:44""",PiCam,25.7,mph,media/images/calib-20220104-1146446.jpg,960,720,3,R2L,None,85,0,15,37,555,50,250,90,150,0,200,6,85,4700,,None
20220104-1148531,"""2022-01-04 11:48:53""",PiCam,12.4,mph,media/images/calib-20220104-1148531.jpg,960,720,3,L2R,None,47,0,34,18,612,50,250,90,150,0,200,6,80,4700,,None
20220104-1148540,"""2022-01-04 11:48:54""",PiCam,20.34,mph,media/images/calib-20220104-1148540.jpg,960,720,3,L2R,None,76,0,50,18,900,50,250,90,150,0,200,6,80,4700,,None
20220104-1152129,"""2022-01-04 11:52:12""",PiCam,24.15,mph,media/images/calib-20220104-1152129.jpg,960,720,3,R2L,None,83,0,37,17,629,50,250,90,150,0,200,6,85,4700,,None
20220104-1153366,"""2022-01-04 11:53:36""",PiCam,34.71,mph,media/images/calib-20220104-1153366.jpg,960,720,3,L2R,None,85,0,63,33,2079,50,250,90,150,0,200,6,80,4700,,None
20220104-1159329,"""2022-01-04 11:59:32""",PiCam,22.58,mph,media/images/calib-20220104-1159329.jpg,960,720,3,R2L,None,69,0,43,40,1720,50,250,90,150,0,200,6,85,4700,,None
20220104-1200091,"""2022-01-04 12:00:09""",PiCam,13.79,mph,media/images/calib-20220104-1200091.jpg,960,720,3,L2R,None,51,0,22,17,374,50,250,90,150,0,200,6,80,4700,,None
20220104-1203024,"""2022-01-04 12:03:02""",PiCam,35.26,mph,media/images/calib-20220104-1203024.jpg,960,720,3,L2R,None,79,0,19,39,741,50,250,90,150,0,200,6,80,4700,,None
20220104-1213503,"""2022-01-04 12:13:50""",PiCam,28.01,mph,media/images/calib-20220104-1213503.jpg,960,720,3,L2R,None,66,0,67,13,871,50,250,90,150,0,200,6,80,4700,,None
20220104-1221131,"""2022-01-04 12:21:13""",PiCam,31.74,mph,media/images/calib-20220104-1221131.jpg,960,720,3,R2L,None,27,0,29,14,406,50,250,90,150,0,200,6,85,4700,,None
20220104-1225224,"""2022-01-04 12:25:22""",PiCam,30.29,mph,media/images/calib-20220104-1225224.jpg,960,720,3,R2L,None,93,0,33,13,429,50,250,90,150,0,200,6,85,4700,,None
20220104-1238465,"""2022-01-04 12:38:46""",PiCam,28.01,mph,media/images/calib-20220104-1238465.jpg,960,720,3,R2L,None,36,0,34,14,476,50,250,90,150,0,200,6,85,4700,,None
20220104-1244387,"""2022-01-04 12:44:38""",PiCam,13.53,mph,media/images/calib-20220104-1244387.jpg,960,720,3,R2L,None,42,0,28,13,364,50,250,90,150,0,200,6,85,4700,,None
20220104-1244398,"""2022-01-04 12:44:39""",PiCam,26.03,mph,media/images/calib-20220104-1244398.jpg,960,720,3,R2L,None,57,0,29,13,377,50,250,90,150,0,200,6,85,4700,,None
20220104-1244532,"""2022-01-04 12:44:53""",PiCam,5.16,mph,media/images/calib-20220104-1244532.jpg,960,720,3,L2R,None,103,0,73,60,4380,50,250,90,150,0,200,6,80,4700,,None
20220104-1244582,"""2022-01-04 12:44:58""",PiCam,26.24,mph,media/images/calib-20220104-1244582.jpg,960,720,3,L2R,None,127,0,36,15,540,50,250,90,150,0,200,6,80,4700,,None
20220104-1258389,"""2022-01-04 12:58:38""",PiCam,7.94,mph,media/images/calib-20220104-1258389.jpg,960,720,3,R2L,None,125,0,35,20,700,50,250,90,150,0,200,6,85,4700,,None
20220104-1416040,"""2022-01-04 14:16:04""",PiCam,20.65,mph,media/images/calib-20220104-1416040.jpg,960,720,3,L2R,None,39,0,44,12,528,50,250,90,150,0,200,6,80,4700,,None
20220104-1452334,"""2022-01-04 14:52:33""",PiCam,27.92,mph,media/images/calib-20220104-1452334.jpg,960,720,3,R2L,None,67,0,48,13,624,50,250,90,150,0,200,6,85,4700,,None
20220104-1623375,"""2022-01-04 16:23:37""",PiCam,30.18,mph,media/images/calib-20220104-1623375.jpg,960,720,3,R2L,None,89,0,31,13,403,50,250,90,150,0,200,6,85,4700,,None
20220105-0810526,"""2022-01-05 08:10:52""",PiCam,19.34,mph,media/images/calib-20220105-0810526.jpg,960,720,3,L2R,None,62,52,48,8,384,50,250,90,150,0,200,6,80,4700,,None
20220105-1145347,"""2022-01-05 11:45:34""",PiCam,26.44,mph,media/images/calib-20220105-1145347.jpg,960,720,3,R2L,None,67,43,52,17,884,50,250,90,150,0,200,6,85,4700,,None
20220105-1157584,"""2022-01-05 11:57:58""",PiCam,32.49,mph,media/images/calib-20220105-1157584.jpg,960,720,3,R2L,None,98,43,41,17,697,50,250,90,150,0,200,6,85,4700,,None
20220105-1158239,"""2022-01-05 11:58:23""",PiCam,29.71,mph,media/images/calib-20220105-1158239.jpg,960,720,3,L2R,None,88,45,45,15,675,50,250,90,150,0,200,6,80,4700,,None
20220105-1205404,"""2022-01-05 12:05:40""",PiCam,33.44,mph,/media/images/calib-20220105-1205404.jpg,960,720,3,L2R,None,104,43,35,17,595,50,250,90,150,0,200,6,80,4700,,None
20220105-1206553,"""2022-01-05 12:06:55""",PiCam,27.74,mph,/media/images/calib-20220105-1206553.jpg,960,720,3,L2R,None,68,44,87,16,1392,50,250,90,150,0,200,6,80,4700,,None
20220105-1305257,"""2022-01-05 13:05:25""",PiCam,22.77,mph,media/images/calib-20220105-1305257.jpg,960,720,3,R2L,None,89,46,40,14,560,50,250,90,150,0,200,6,85,4700,,None
20220105-1307210,"""2022-01-05 13:07:21""",PiCam,29.63,mph,media/images/calib-20220105-1307210.jpg,960,720,3,R2L,None,42,42,84,18,1512,50,250,90,150,0,200,6,85,4700,,None
20220105-1309001,"""2022-01-05 13:09:00""",PiCam,31.77,mph,media/images/calib-20220105-1309001.jpg,960,720,3,R2L,None,38,48,83,12,996,50,250,90,150,0,200,6,85,4700,,None
20220105-1310023,"""2022-01-05 13:10:02""",PiCam,18.63,mph,media/images/calib-20220105-1310023.jpg,960,720,3,L2R,None,58,35,59,25,1475,50,250,90,150,0,200,6,80,4700,,None
20220105-1310035,"""2022-01-05 13:10:03""",PiCam,15.33,mph,media/images/calib-20220105-1310035.jpg,960,720,3,L2R,None,153,40,25,20,500,50,250,90,150,0,200,6,80,4700,,None
20220105-1312179,"""2022-01-05 13:12:17""",PiCam,16.39,mph,media/images/calib-20220105-1312179.jpg,960,720,3,R2L,None,76,38,64,22,1408,50,250,90,150,0,200,6,85,4700,,None
20220105-1324281,"""2022-01-05 13:24:28""",PiCam,37.72,mph,media/images/calib-20220105-1324281.jpg,960,720,3,L2R,None,89,15,53,45,2385,50,250,90,150,0,200,6,80,4700,,None
20220105-1328306,"""2022-01-05 13:28:30""",PiCam,30.2,mph,media/images/calib-20220105-1328306.jpg,960,720,3,L2R,None,78,44,51,16,816,50,250,90,150,0,200,6,80,4700,,None
20220105-1328575,"""2022-01-05 13:28:57""",PiCam,28.64,mph,media/images/calib-20220105-1328575.jpg,960,720,3,R2L,None,105,17,16,43,688,50,250,90,150,0,200,6,85,4700,,None
20220105-1329183,"""2022-01-05 13:29:18""",PiCam,30.73,mph,media/images/calib-20220105-1329183.jpg,960,720,3,R2L,None,72,48,87,12,1044,50,250,90,150,0,200,6,85,4700,,None
20220105-1402054,"""2022-01-05 14:02:05""",PiCam,30.83,mph,media/images/calib-20220105-1402054.jpg,960,720,3,R2L,None,47,47,38,13,494,50,250,90,150,0,200,6,85,4700,,None
20220105-1426494,"""2022-01-05 14:26:49""",PiCam,21.61,mph,media/images/calib-20220105-1426494.jpg,960,720,3,R2L,None,86,33,45,27,1215,50,250,90,150,0,200,6,85,4700,,None
20220105-1426503,"""2022-01-05 14:26:50""",PiCam,24.27,mph,media/images/calib-20220105-1426503.jpg,960,720,3,R2L,None,39,32,13,28,364,50,250,90,150,0,200,6,85,4700,,None
20220105-1427428,"""2022-01-05 14:27:42""",PiCam,27.82,mph,media/images/calib-20220105-1427428.jpg,960,720,3,R2L,None,92,43,27,17,459,50,250,90,150,0,200,6,85,4700,,None
20220105-1431230,"""2022-01-05 14:31:23""",PiCam,15.61,mph,media/images/calib-20220105-1431230.jpg,960,720,3,R2L,None,103,44,40,16,640,50,250,90,150,0,200,6,85,4700,,None
20220105-1431240,"""2022-01-05 14:31:24""",PiCam,24.84,mph,media/images/calib-20220105-1431240.jpg,960,720,3,L2R,None,49,41,23,19,437,50,250,90,150,0,200,6,80,4700,,None
20220105-1437085,"""2022-01-05 14:37:08""",PiCam,25.65,mph,media/images/calib-20220105-1437085.jpg,960,720,3,L2R,None,79,41,34,19,646,50,250,90,150,0,200,6,80,4700,,None
20220105-1437254,"""2022-01-05 14:37:25""",PiCam,32.02,mph,media/images/calib-20220105-1437254.jpg,960,720,3,L2R,None,90,48,71,12,852,50,250,90,150,0,200,6,80,4700,,None
20220105-1445422,"""2022-01-05 14:45:42""",PiCam,30.22,mph,media/images/calib-20220105-1445422.jpg,960,720,3,L2R,None,77,47,64,13,832,50,250,90,150,0,200,6,80,4700,,None
20220105-1447044,"""2022-01-05 14:47:04""",PiCam,32.87,mph,media/images/calib-20220105-1447044.jpg,960,720,3,L2R,None,78,46,40,14,560,50,250,90,150,0,200,6,80,4700,,None
20220105-1456363,"""2022-01-05 14:56:36""",PiCam,19.94,mph,media/images/calib-20220105-1456363.jpg,960,720,3,R2L,None,95,45,43,15,645,50,250,90,150,0,200,6,85,4700,,None
20220105-1456585,"""2022-01-05 14:56:58""",PiCam,34.01,mph,media/images/calib-20220105-1456585.jpg,960,720,3,L2R,None,44,37,27,21,567,50,250,90,150,0,200,6,80,4700,,None
20220105-1458493,"""2022-01-05 14:58:49""",PiCam,33.18,mph,media/images/calib-20220105-1458493.jpg,960,720,3,L2R,None,90,45,45,15,675,50,250,90,150,0,200,6,80,4700,,None
20220105-1503534,"""2022-01-05 15:03:53""",PiCam,38.14,mph,media/images/calib-20220105-1503534.jpg,960,720,3,L2R,None,32,48,68,12,816,50,250,90,150,0,200,6,80,4700,,None
20220105-1505305,"""2022-01-05 15:05:30""",PiCam,23.41,mph,media/images/calib-20220105-1505305.jpg,960,720,3,L2R,None,63,39,56,21,1176,50,250,90,150,0,200,6,80,4700,,None
20220105-1515400,"""2022-01-05 15:15:40""",PiCam,38.21,mph,media/images/calib-20220105-1515400.jpg,960,720,3,L2R,None,97,40,46,20,920,50,250,90,150,0,200,6,80,4700,,None
20220105-1515541,"""2022-01-05 15:15:54""",PiCam,35.46,mph,media/images/calib-20220105-1515541.jpg,960,720,3,L2R,None,53,9,87,51,4437,50,250,90,150,0,200,6,80,4700,,None
20220105-1515550,"""2022-01-05 15:15:55""",PiCam,30.22,mph,media/images/calib-20220105-1515550.jpg,960,720,3,L2R,None,126,10,50,50,2500,50,250,90,150,0,200,6,80,4700,,None
20220105-1519588,"""2022-01-05 15:19:58""",PiCam,21.36,mph,media/images/calib-20220105-1519588.jpg,960,720,3,R2L,None,51,32,19,28,532,50,250,90,150,0,200,6,85,4700,,None
20220105-1523292,"""2022-01-05 15:23:29""",PiCam,25.49,mph,media/images/calib-20220105-1523292.jpg,960,720,3,R2L,None,123,42,34,18,612,50,250,90,150,0,200,6,85,4700,,None
20220105-1527265,"""2022-01-05 15:27:26""",PiCam,33.31,mph,media/images/calib-20220105-1527265.jpg,960,720,3,L2R,None,71,43,23,17,391,50,250,90,150,0,200,6,80,4700,,None
20220105-1527408,"""2022-01-05 15:27:40""",PiCam,35.01,mph,media/images/calib-20220105-1527408.jpg,960,720,3,L2R,None,83,43,40,17,680,50,250,90,150,0,200,6,80,4700,,None
20220105-1531175,"""2022-01-05 15:31:17""",PiCam,36.32,mph,media/images/calib-20220105-1531175.jpg,960,720,3,L2R,None,67,33,28,18,504,50,250,90,150,0,200,6,80,4700,,None
20220105-1532014,"""2022-01-05 15:32:01""",PiCam,25.96,mph,media/images/calib-20220105-1532014.jpg,960,720,3,R2L,None,99,41,20,19,380,50,250,90,150,0,200,6,85,4700,,None
20220105-1533499,"""2022-01-05 15:33:49""",PiCam,41.06,mph,media/images/calib-20220105-1533499.jpg,960,720,3,L2R,None,123,42,53,18,954,50,250,90,150,0,200,6,80,4700,,None
20220105-1543167,"""2022-01-05 15:43:16""",PiCam,31.77,mph,media/images/calib-20220105-1543167.jpg,960,720,3,R2L,None,97,40,17,20,340,50,250,90,150,0,200,6,85,4700,,None
20220105-1545342,"""2022-01-05 15:45:34""",PiCam,28.03,mph,media/images/calib-20220105-1545342.jpg,960,720,3,L2R,None,81,38,33,15,495,50,250,90,150,0,200,6,80,4700,,None
20220105-1546442,"""2022-01-05 15:46:44""",PiCam,20.99,mph,media/images/calib-20220105-1546442.jpg,960,720,3,R2L,None,53,41,43,19,817,50,250,90,150,0,200,6,85,4700,,None
20220105-1547143,"""2022-01-05 15:47:14""",PiCam,33.79,mph,media/images/calib-20220105-1547143.jpg,960,720,3,L2R,None,136,44,41,16,656,50,250,90,150,0,200,6,80,4700,,None
20220105-1615431,"""2022-01-05 16:15:43""",PiCam,25.24,mph,media/images/calib-20220105-1615431.jpg,960,720,3,R2L,None,86,46,42,14,588,50,250,90,150,0,200,6,85,4700,,None
20220105-1624278,"""2022-01-05 16:24:27""",PiCam,17.6,mph,media/images/calib-20220105-1624278.jpg,960,720,3,R2L,None,98,43,46,17,782,50,250,90,150,0,200,6,85,4700,,None
